Attack,Forward,Turn L, Turn R
2598,2908,1861,2633
2018,2814,2045,3123
2400,3331,1897,2372
1187,3668,2533,2612
1197,4888,2108,1807
556,5595,1714,2135
955,6099,1822,1124
713,5506,2035,1746
322,6480,1918,1280
471,6917,1692,920
949,6505,1868,678
379,7316,1737,568
635,7859,1057,449
747,7657,1219,377
1143,7955,789,113
571,8173,1178,78
987,7784,965,264
845,7612,1443,100
424,8583,993,0
484,8912,404,200
401,9069,330,200
308,8757,735,200
323,7531,1861,285
501,7783,1516,200
302,7991,1532,175
480,8160,1169,191
331,8544,1025,100
400,7867,1463,270
0,8550,950,500
308,8538,855,299
315,9106,379,200
40,8568,1094,298
326,8424,745,505
224,8292,892,592
252,8861,692,195
112,8851,954,83
454,8761,589,196
397,8172,1034,397
334,8282,999,385
399,7977,992,632
444,8146,1036,374
347,8435,776,442
830,7424,1267,479
1183,6363,1989,465
2301,5004,2526,169
2168,4376,2697,759
2395,4336,2592,677
3134,3532,2725,609
3458,2887,2584,1071
4433,1859,2594,1114
4331,1982,2592,1095
5132,1210,2721,937
5381,949,2849,821
4765,1204,3315,716
4608,987,3335,1070
5236,892,3115,757
5201,900,2965,934
4537,1010,3721,732
4062,1182,3981,775
4080,1159,4279,482
3535,1049,4785,631
3612,992,5070,326
3007,1291,5368,334
2124,1433,6027,416
1832,1232,6566,370
1922,1428,6463,187
1507,1186,6936,371
2070,1948,5898,84
1843,2054,5926,177
1134,2093,6599,174
805,1962,7112,121
1056,1809,6901,234
1019,1935,6359,687
793,2313,6531,363
1185,1847,6289,679
821,1723,7098,358
833,1556,6801,810
1533,1699,6330,438
1442,1440,6666,452
1113,1436,6743,708
1844,1129,6595,432
1669,1602,6308,421
1766,1791,6039,404
1646,1624,6556,174
1125,1966,6609,300
947,1774,7079,200
795,1479,7726,0
659,2546,6795,0
824,1897,6979,300
920,1993,7082,5
749,2491,6677,83
458,1619,7723,200
641,2091,7168,100
577,2114,7109,200
655,2681,6664,0
572,1701,7636,91
691,2244,6881,184
760,1739,7017,484
685,2593,6440,282
694,2295,6724,287
326,1839,7563,272
672,1578,7575,175
895,2176,6733,196
726,1097,7981,196
603,1773,7525,99
938,1741,7144,177
1154,1813,7033,0
639,1291,8070,0
847,2106,7047,0
896,1333,7581,190
1108,964,7801,127
576,1729,7604,91
846,1298,7766,90
883,1681,7436,0
789,1719,7492,0
624,1688,7607,81
723,1595,7423,259
992,2027,6898,83
994,2305,6522,179
728,3304,5784,184
377,2102,7421,100
428,1431,8137,4
369,1879,7653,99
494,1821,7542,143
570,1304,7790,336
836,1409,7736,19
639,1872,7489,0
560,2172,7268,0
718,1655,7627,0
267,2185,7548,0
1135,1744,7121,0
1189,2406,6405,0
670,2044,7186,100
843,1762,7241,154
350,1514,8033,103
569,2070,7095,266
463,2466,7064,7
498,1810,7692,0
515,1883,7572,30
763,1362,7871,4
858,1527,7512,103
327,2078,7595,0
178,1602,8126,94
824,1652,7434,90
267,2213,7520,0
377,2241,7382,0
652,2336,7012,0
140,1360,8500,0
