Attack,Forward,Turn L, Turn R
2884,2597,2478,2041
2239,3033,3154,1574
1760,4517,2471,1252
2398,5152,1661,789
1439,6551,1234,776
608,8092,913,387
324,8082,1259,335
846,7119,1401,634
759,7276,1554,411
587,7575,1534,304
763,7542,1694,1
763,6821,2300,116
101,7525,2306,68
100,8161,1599,140
0,7254,2483,263
101,6992,2316,591
1,7130,2743,126
0,7044,2383,573
0,6385,3193,422
0,5811,4189,0
0,5556,4444,0
0,5649,4351,0
0,5260,4740,0
0,5515,4485,0
0,5452,4548,0
0,5763,4237,0
0,5911,4089,0
0,5903,4097,0
0,5517,4483,0
0,5936,4064,0
0,5737,4263,0
0,5695,4305,0
0,5606,4394,0
0,5695,4305,0
0,5817,4083,100
0,5834,4166,0
0,5734,4266,0
0,5813,4187,0
0,5756,4244,0
0,5605,4395,0
0,5803,4197,0
0,5780,4220,0
0,5771,4229,0
0,5843,4157,0
0,5588,4412,0
0,5872,4128,0
0,5803,4197,0
0,5916,4084,0
0,5909,4091,0
0,5677,4323,0
0,5731,4269,0
0,5962,4038,0
0,5889,4111,0
0,6103,3897,0
0,5980,4020,0
0,5973,4027,0
0,6136,3864,0
0,6092,3908,0
0,6093,3907,0
0,5782,4218,0
0,5936,4064,0
0,5820,4180,0
0,5770,4230,0
0,5910,4090,0
0,5972,4028,0
0,6085,3915,0
0,6207,3793,0
0,5880,4120,0
0,5974,4026,0
0,6031,3969,0
0,5857,4143,0
0,5799,4201,0
0,5896,4104,0
0,5958,4042,0
0,5859,4141,0
0,6073,3927,0
0,6018,3982,0
0,6105,3895,0
0,5949,4051,0
0,5935,4065,0
0,5910,4090,0
0,5808,4192,0
0,6037,3963,0
0,5826,4159,15
0,5928,4072,0
0,5895,4105,0
0,6178,3822,0
0,5982,4018,0
0,5888,4112,0
0,6022,3978,0
0,5726,4274,0
0,6274,3726,0
0,5793,4207,0
0,5892,4108,0
0,6250,3750,0
0,5968,4032,0
0,5910,4090,0
0,5819,4181,0
0,6036,3952,12
0,6002,3998,0
0,5919,4081,0
0,6037,3963,0
0,5813,4187,0
0,6128,3872,0
0,5862,4138,0
0,6026,3974,0
0,5868,4132,0
0,5858,4142,0
0,5920,4080,0
0,6061,3939,0
0,6202,3798,0
0,6000,4000,0
0,5859,4141,0
0,6042,3958,0
0,6228,3772,0
0,6131,3869,0
0,5941,4059,0
0,6093,3907,0
0,5864,4136,0
0,5991,4009,0
0,6283,3717,0
0,6269,3731,0
0,6050,3950,0
0,6048,3952,0
0,5809,4191,0
0,6141,3859,0
0,5833,4122,45
0,5993,4007,0
0,5993,4007,0
0,6144,3856,0
0,5909,4020,71
0,6133,3867,0
0,6219,3781,0
0,6053,3947,0
0,5984,4016,0
0,5873,4127,0
0,6351,3649,0
0,6035,3965,0
0,5796,4204,0
0,5880,4120,0
0,6146,3854,0
0,6031,3969,0
0,6124,3876,0
0,6043,3957,0
0,5902,4098,0
0,5711,4289,0
0,5923,4004,73
0,5981,4019,0
0,5952,4048,0
0,6114,3886,0
0,6062,3938,0
0,6028,3972,0
0,6120,3880,0
1,6173,3826,0
0,6165,3835,0
0,6102,3898,0
0,6101,3899,0
0,6005,3995,0
0,5831,4169,0
0,5890,4110,0
0,6131,3869,0
0,6068,3932,0
0,6130,3870,0
0,5930,4070,0
0,5863,4137,0
0,6085,3915,0
0,6108,3892,0
0,6070,3930,0
0,6062,3938,0
0,6083,3917,0
0,6074,3926,0
0,6087,3909,4
94,5916,3990,0
0,6215,3785,0
0,6055,3945,0
0,6084,3916,0
0,5925,4075,0
18,5959,4023,0
0,6219,3781,0
96,6031,3873,0
0,5804,4196,0
0,6141,3814,45
0,6072,3817,111
67,5955,3978,0
22,5988,3983,7
0,6275,3709,16
0,6246,3754,0
0,6113,3887,0
0,6077,3923,0
0,5985,4015,0
0,6163,3837,0
0,6181,3819,0
0,6181,3819,0
0,5991,4009,0
0,6130,3870,0
0,6285,3715,0
0,6110,3890,0
0,6066,3934,0
0,5937,4063,0
0,6112,3888,0
0,6181,3819,0
0,6126,3874,0
0,6175,3825,0
0,6126,3874,0
0,5995,4005,0
0,6100,3900,0
0,6003,3997,0
0,5905,3995,100
0,6374,3626,0
0,6023,3977,0
0,6424,3576,0
0,5979,4021,0
0,6307,3693,0
0,5970,4030,0
0,6183,3817,0
0,6215,3785,0
0,6091,3909,0
0,6056,3944,0
0,6146,3854,0
0,6295,3705,0
0,6213,3787,0
99,6146,3755,0
0,6248,3752,0
0,6119,3881,0
0,5928,4072,0
0,5920,4080,0
0,6063,3937,0
0,6193,3807,0
0,6028,3972,0
0,6153,3847,0
0,6289,3711,0
0,6046,3954,0
0,5988,4012,0
0,6078,3922,0
0,6259,3741,0
0,6331,3669,0
97,6014,3889,0
0,6176,3824,0
0,6043,3957,0
0,6119,3881,0
0,6229,3771,0
98,6252,3650,0
0,6322,3678,0
0,6064,3936,0
0,5973,4027,0
0,6064,3936,0
0,6131,3869,0
0,6170,3830,0
0,6412,3588,0
0,6088,3912,0
