Attack,Forward,Turn L, Turn R
2680,3082,1476,2762
1668,4538,1574,2220
1542,5087,1987,1384
756,7425,1014,805
805,7852,613,730
914,7316,1023,747
548,8187,673,592
548,8409,609,434
319,9005,264,412
299,9053,217,431
298,8871,502,329
99,8829,793,279
0,8914,741,345
1,9083,669,247
3,8597,1106,294
1,7711,1774,514
33,7778,1443,746
217,8307,1174,302
302,8080,1413,205
212,8658,1030,100
303,7954,1743,0
348,8451,1042,159
277,7897,1351,475
516,7539,1649,296
75,6788,2395,742
119,6183,2644,1054
367,5408,3240,985
580,5259,3005,1156
415,4155,3753,1677
577,2968,4541,1914
268,3643,4527,1562
275,3156,4712,1857
136,3467,4846,1551
8,2955,5988,1049
29,2361,6540,1070
8,1979,7716,297
17,1225,8337,421
0,1364,8604,32
0,1029,8821,150
0,637,9200,163
0,832,8905,263
0,1147,8802,51
0,1461,8423,116
0,1150,8848,2
30,697,9255,18
30,1014,8951,5
184,402,9411,3
103,403,9387,107
245,888,8864,3
323,1195,8482,0
375,838,8754,33
625,647,8727,1
1105,343,8421,131
1826,306,7823,45
2772,631,6558,39
4918,428,4467,187
5654,176,4084,86
6436,131,3347,86
7860,124,1889,127
8804,8,1082,106
8860,117,993,30
9080,5,763,152
8881,126,897,96
8870,117,1012,1
8639,227,1131,3
8944,317,721,18
8795,19,1098,88
9359,4,530,107
9227,6,756,11
9219,110,670,1
9440,2,554,4
9181,5,614,200
8951,434,614,1
9073,223,704,0
9430,6,434,130
9322,183,395,100
9408,2,490,100
9518,1,381,100
9112,112,776,0
9020,314,631,35
9548,112,335,5
9355,235,410,0
9004,225,693,78
9095,17,788,100
8642,345,1013,0
9546,107,347,0
9189,111,600,100
9247,203,550,0
9505,186,261,48
9162,399,415,24
9176,9,812,3
9139,119,722,20
9453,110,437,0
9513,116,371,0
9357,328,309,6
9841,1,157,1
9653,225,122,0
9377,331,291,1
9478,111,411,0
9103,337,460,100
9446,334,220,0
9263,324,375,38
9236,288,444,32
9580,110,235,75
9349,335,216,100
9346,11,543,100
9623,2,326,49
9302,10,566,122
9268,5,521,206
9747,74,179,0
9439,8,553,0
8931,12,957,100
9497,106,397,0
9620,6,371,3
9193,126,681,0
9329,11,660,0
8747,16,1137,100
9692,5,303,0
9008,19,969,4
9335,4,561,100
9408,11,559,22
8981,223,796,0
9399,112,354,135
9619,104,276,1
9845,1,154,0
9711,1,190,98
9408,308,250,34
9216,226,529,29
9681,1,247,71
9742,99,151,8
9468,111,314,107
9605,95,264,36
9545,1,342,112
9507,3,331,159
9529,94,304,73
9600,92,308,0
9222,129,649,0
9411,193,396,0
9359,114,527,0
9637,111,252,0
9461,219,220,100
9184,118,698,0
9553,80,319,48
9455,216,323,6
9794,0,196,10
9717,0,283,0
9527,109,364,0
9828,0,167,5
9579,191,230,0
9232,215,416,137
9223,112,664,1
9285,218,430,67
9633,107,215,45
9514,109,325,52
9071,114,723,92
9385,116,499,0
9247,225,516,12
9567,3,388,42
9182,111,621,86
9287,119,594,0
9550,11,438,1
9407,214,379,0
9427,115,358,100
9851,0,149,0
9556,112,232,100
9447,112,421,20
9767,0,211,22
9246,6,748,0
9859,0,141,0
9658,112,230,0
9644,3,353,0
9542,2,418,38
9432,329,239,0
9483,112,405,0
9698,0,302,0
9585,110,305,0
9409,8,583,0
9361,418,156,65
9859,1,86,54
9283,223,411,83
9390,321,289,0
9097,111,692,100
9331,108,561,0
9416,6,478,100
9625,108,167,100
9551,114,335,0
9286,113,464,137
9318,8,674,0
9746,111,143,0
9110,226,664,0
9413,116,423,48
9776,3,221,0
9810,0,190,0
9523,109,368,0
9315,223,362,100
9172,6,688,134
9185,206,453,156
9550,2,332,116
9412,113,302,173
9416,187,220,177
9492,171,237,100
9594,109,297,0
9622,104,274,0
9855,0,109,36
9431,216,353,0
9489,4,407,100
9833,0,137,30
9752,107,98,43
9472,209,319,0
9256,322,322,100
9014,228,658,100
9326,122,452,100
9331,108,456,105
9135,229,594,42
9200,116,641,43
9404,4,475,117
9619,3,278,100
9382,219,299,100
9112,117,570,201
9580,112,267,41
9862,1,137,0
9506,2,366,126
9673,105,122,100
9826,105,69,0
9840,0,61,99
9820,0,180,0
9883,0,117,0
9292,320,388,0
9648,7,334,11
9651,112,237,0
9526,104,318,52
9675,3,222,100
9443,220,328,9
9241,4,700,55
9254,217,409,120
9191,116,570,123
9723,106,99,72
9894,1,64,41
9385,224,391,0
9689,110,201,0
9228,3,687,82
9425,6,569,0
9565,106,329,0
9528,5,467,0
9756,1,243,0
9337,222,419,22
9829,0,171,0
9494,4,462,40
9466,338,196,0
9911,0,89,0
