Attack,Forward,Turn L, Turn R
2058,2582,2871,2489
1225,4548,2278,1949
1393,6428,924,1255
414,8243,679,664
198,8746,449,607
197,9054,323,426
200,9385,95,320
115,9460,100,325
196,9503,0,301
0,9699,0,301
96,9606,98,200
0,9800,0,200
0,9900,0,100
0,9916,0,84
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,9998,0,2
1,9999,0,0
3,9834,92,71
0,9932,0,68
0,9942,0,58
0,9779,0,221
96,9463,0,441
5,9523,0,472
0,9480,0,520
0,9716,100,184
0,9918,0,82
0,9936,0,64
0,9937,0,63
0,9856,0,144
0,9928,1,71
0,9900,0,100
0,9900,17,83
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,9833,0,167
0,9845,100,55
0,10000,0,0
0,10000,0,0
200,9800,0,0
197,9803,0,0
1,9999,0,0
101,9896,0,3
6,9911,0,83
3,9997,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,9925,0,75
0,9925,0,75
0,10000,0,0
1,9999,0,0
1,9999,0,0
0,9920,0,80
2,9848,0,150
1,9869,0,130
1,9904,0,95
0,9898,0,102
0,9943,0,57
0,9907,0,93
0,10000,0,0
0,9907,0,93
0,9800,0,200
1,9898,0,101
0,10000,0,0
1,9999,0,0
102,9774,0,124
0,9938,0,62
0,9938,0,62
0,10000,0,0
0,10000,0,0
7,9942,0,51
0,9949,0,51
0,9792,0,208
0,9879,0,121
0,9948,0,52
0,9952,0,48
0,10000,0,0
0,9900,0,100
0,9998,0,2
0,10000,0,0
0,10000,0,0
0,9832,0,168
4,9674,41,281
0,9853,0,147
0,10000,0,0
101,9898,0,1
0,9709,0,291
0,9836,0,164
0,9728,0,272
0,9923,0,77
0,9998,0,2
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,9999,0,1
0,9921,0,79
0,10000,0,0
0,10000,0,0
0,9900,0,100
0,9704,0,296
1,9998,0,1
0,9945,2,53
0,9615,0,385
0,9668,47,285
6,9449,0,545
0,9260,2,738
0,9357,60,583
0,9144,226,630
0,9268,223,509
0,8832,467,701
0,8931,170,899
0,8196,333,1471
0,8406,201,1393
0,7604,507,1889
100,7630,320,1950
0,6873,477,2650
0,7008,169,2823
38,6020,317,3625
0,6447,39,3514
0,6107,13,3880
4,5899,73,4024
110,5988,75,3827
4,5712,159,4125
13,6083,3,3901
0,6038,139,3823
0,6058,189,3753
0,6156,139,3705
0,6149,155,3696
0,6211,207,3582
0,5781,105,4114
0,5884,148,3968
0,6028,86,3886
199,5806,108,3887
7,6031,78,3884
15,5853,62,4070
7,6117,56,3820
0,6012,79,3909
98,6045,150,3707
0,6014,4,3982
38,5926,0,4036
0,5730,0,4270
0,5995,0,4005
1,5945,13,4041
0,6094,0,3906
326,5661,98,3915
240,5717,6,4037
67,5844,0,4089
92,5770,10,4128
181,5971,0,3848
0,5835,0,4165
200,5805,61,3934
22,6002,67,3909
0,5933,3,4064
0,5845,0,4155
14,6011,0,3975
0,5951,0,4049
99,5845,19,4037
1,5779,6,4214
100,5761,0,4139
0,5645,9,4346
0,6138,6,3856
198,5632,0,4170
30,5973,0,3997
29,5707,0,4264
196,5977,0,3827
0,5974,0,4026
22,5941,0,4037
22,5847,191,3940
219,5891,0,3890
6,5869,0,4125
29,6039,65,3867
0,5893,0,4107
0,6017,0,3983
0,6028,0,3972
100,6060,0,3840
100,5945,0,3955
8,5882,0,4110
98,6149,0,3753
0,6280,0,3720
0,5950,0,4050
169,5957,0,3874
0,5811,100,4089
4,5889,0,4107
0,5879,0,4121
10,5859,0,4131
0,5976,100,3924
