Attack,Forward,Turn L, Turn R
2004,3174,2493,2329
1338,5415,1868,1379
793,7288,1101,818
848,8058,431,663
590,8069,952,389
167,8953,499,381
99,9359,200,342
198,9599,133,70
0,9424,163,413
45,9155,457,343
0,9272,398,330
5,9397,400,198
0,9367,533,100
0,9424,487,89
0,9417,446,137
0,9406,494,100
0,9752,248,0
10,9766,224,0
0,9776,224,0
0,9927,73,0
0,9915,0,85
0,9621,179,200
0,9999,1,0
0,9945,55,0
0,9754,246,0
0,9559,241,200
0,9833,167,0
0,9643,229,128
0,9779,135,86
0,9675,323,2
0,9144,856,0
0,9414,525,61
0,9591,248,161
0,9609,323,68
0,9422,576,2
0,9633,367,0
0,9408,499,93
0,9715,285,0
0,9745,155,100
0,9935,65,0
0,9942,58,0
0,9786,214,0
0,9797,203,0
0,9797,203,0
96,9642,262,0
0,9299,601,100
0,9093,806,101
0,8964,869,167
0,8818,1131,51
0,8573,1226,201
0,8761,725,514
0,8832,1068,100
0,9084,815,101
0,8752,956,292
0,9158,842,0
0,8406,1594,0
0,7882,2044,74
0,7855,2145,0
0,7700,2300,0
0,7081,2919,0
0,7127,2873,0
0,6608,3392,0
0,6975,3025,0
0,6567,3433,0
0,6988,3012,0
100,6872,3028,0
12,6767,3153,68
7,6706,3101,186
12,6972,3016,0
0,6693,3283,24
0,6659,3217,124
0,6639,3261,100
0,6632,3338,30
0,6669,3331,0
1,6544,3434,21
0,6594,3406,0
0,6679,3321,0
0,6338,3520,142
0,7023,2977,0
0,6882,3077,41
0,7123,2877,0
0,6742,3258,0
0,7025,2975,0
0,7035,2965,0
0,7232,2768,0
0,7169,2831,0
0,7174,2826,0
0,6667,3333,0
0,6987,3001,12
0,6712,3141,147
0,7033,2967,0
10,7245,2745,0
0,7316,2684,0
0,7424,2576,0
0,7348,2652,0
100,7471,2429,0
200,6684,3116,0
0,7561,2439,0
0,7419,2581,0
0,7469,2531,0
