Attack,Forward,Turn L, Turn R
2461,2730,2773,2036
1564,2954,3252,2230
1117,4515,2524,1844
940,5878,1638,1544
1389,5743,1578,1290
618,7319,912,1151
512,7143,1296,1049
205,8003,1097,695
200,8259,911,630
103,8167,487,1243
424,8415,618,543
204,8590,805,401
3,8966,930,101
13,9487,300,200
182,9425,258,135
217,9455,69,259
66,9229,126,579
101,9404,186,309
278,9242,157,323
891,8240,323,546
376,9103,323,198
206,9395,301,98
14,9589,300,97
100,9518,300,82
0,9816,102,82
0,9718,200,82
0,9724,200,76
100,9701,199,0
0,9800,200,0
0,9799,201,0
0,9899,101,0
0,10000,0,0
0,9900,100,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
0,10000,0,0
8,9992,0,0
0,10000,0,0
100,9801,0,99
100,9900,0,0
0,9720,100,180
0,9644,100,256
0,9915,0,85
200,9637,0,163
204,9474,44,278
202,9640,0,158
100,9816,0,84
99,9641,0,260
0,9623,100,277
200,9654,0,146
411,9071,0,518
200,9227,0,573
100,9271,0,629
0,9425,0,575
102,9028,0,870
70,8796,100,1034
72,7880,0,2048
243,7201,0,2556
229,6239,122,3410
222,4608,0,5170
516,3415,0,6069
859,3001,0,6140
921,2496,49,6534
1368,1828,93,6711
1087,3053,160,5700
1073,2853,83,5991
1403,2330,11,6256
1852,1844,0,6304
1691,2400,2,5907
1368,2787,0,5845
1575,3123,100,5202
1349,2312,0,6339
2622,2218,25,5135
3186,2247,91,4476
2785,2699,66,4450
1938,2643,181,5238
2172,2879,0,4949
1718,2381,37,5864
2328,2648,141,4883
2562,2550,200,4688
2786,2082,1,5131
4591,2350,128,2931
3001,2524,37,4438
2070,2620,0,5310
3045,2400,0,4555
3142,2420,0,4438
3194,2404,4,4398
2447,2580,22,4951
2756,2763,220,4261
2035,2938,0,5027
2974,2812,0,4214
2175,2926,100,4799
2930,2141,0,4929
3638,2206,0,4156
2611,2354,0,5035
1768,2946,0,5286
2322,2759,0,4919
3324,2330,0,4346
